Time WindDir SailAngle DragForward LiftForward
13 1.999902 162.5248 0.02410783 0.006179439
13.12 1.999902 160.9238 0.02797125 0.007089867
13.24 1.999902 159.3251 0.03205727 0.008024204
13.34 1.999902 157.771 0.03612768 0.008924372
13.46 1.999902 156.1313 0.04084394 0.009928163
13.58 1.999902 154.5313 0.04551272 0.01087726
13.7 1.999902 152.9335 0.05032442 0.01180698
13.82 1.999902 151.336 0.05526575 0.01270818
13.92 1.999902 149.7804 0.06007823 0.01353582
14.04 1.999902 148.1431 0.0654611 0.0143933
14.16 1.999902 146.5431 0.0706593 0.01514727
14.28 1.999902 144.9452 0.07587992 0.01583019
14.38 1.999902 143.3876 0.08089989 0.01642515
14.5 1.999902 141.7516 0.08636646 0.01698013
14.62 1.999902 140.1508 0.09155422 0.01741016
14.74 1.999902 138.5519 0.09666149 0.01774154
14.86 1.999902 136.9527 0.1016787 0.01797166
14.96 1.999902 135.3916 0.1064392 0.01812347
15.08 1.999902 133.7572 0.111447 0.01816133
15.2 1.999902 132.1538 0.1160854 0.01807619
15.32 1.999902 130.5524 0.1205296 0.01788604
15.42 1.999902 128.9882 0.1247066 0.01764464
15.54 1.999902 127.3541 0.1289613 0.01725544
15.66 1.999902 125.748 0.1328025 0.0167657
15.78 1.999902 124.1442 0.1363861 0.01618792
15.88 1.999902 122.5793 0.139722 0.01559548
16 1.999902 120.9426 0.1429832 0.01484643
16.1 1.999902 119.3748 0.1458537 0.01410681
16.22 1.999902 117.7356 0.148566 0.01321607
16.32 1.999902 116.169 0.1509227 0.01235968
16.42 1.999902 114.5714 0.1531513 0.01143853
16.52 1.999902 112.9698 0.1551262 0.01046771
16.64 1.999902 111.3212 0.1567085 0.009377828
16.74 1.999902 109.7587 0.158005 0.008374289
16.84 1.999902 108.1608 0.1591429 0.007323761
16.94 1.999902 106.5593 0.1600218 0.006253317
17.06 1.999902 104.9073 0.1604574 0.005096495
17.16 1.999902 103.3513 0.1607124 0.004065613
17.26 1.999902 101.7543 0.1607949 0.002999146
17.38 1.999902 100.1029 0.1604225 0.001867636
17.48 2.999965 173.7969 0.01053 0.002146867
17.58 2.999965 178.0619 0.001390431 0.000297814
17.68 2.999965 176.9196 0.002054209 0.000441222
17.8 2.999965 175.3083 0.003532344 0.0007587462
17.9 2.999965 173.7579 0.00513166 0.001100347
18 2.999965 172.1637 0.007056941 0.0015085
18.1 2.999965 170.5661 0.009231526 0.001965075
18.22 2.999965 168.9203 0.0117929 0.002498021
18.32 2.999965 167.3671 0.01430556 0.00301228
18.42 2.999965 165.7731 0.01717735 0.003589325
18.52 2.999965 164.1756 0.02027747 0.004199373
18.64 2.999965 162.5318 0.02378265 0.004875009
18.74 2.999965 160.9766 0.02711541 0.005498002
18.84 2.999965 159.3827 0.03080731 0.00616624
18.96 2.999965 157.741 0.03489901 0.00688278
19.06 2.999965 156.184 0.03874055 0.007525617
19.16 2.999965 154.5904 0.04291172 0.008192021
